,0
1943,78105045
1944,78106192
1945,78114039
1946,78216334
1947,78233458
1948,78500404
1949,78535741
1950,78613320
1951,78649953
1952,78666584
1953,78668515
1954,78668710
1955,78674354
1956,78676914
1957,78701267
1958,78715597
1959,78737945
1960,78753118
1961,78758033
1962,78773378
1963,78774788
1964,78805206
1965,78841500
1966,78874695
1967,79026848
1968,79097451
1969,79109038
1970,79210079
1971,79229301
1972,79260567
1973,79260722
1974,79268103
1975,79269115
1976,79284600
1977,79308369
1978,79364873
1979,79387788
1980,79485236
1981,79486773
1982,79495841
1983,79626207
1984,79696251
1985,79708799
1986,79708927
1987,79710432
1988,79718674
1989,79773838
1990,79794379
1991,79796015
1992,79805204
1993,79827266
1994,79839212
1995,79852316
1996,79873499
1997,79874697
1998,79876136
1999,79936416
2000,79942224
2001,79964690
2002,79974679
2003,80024350
2004,80046488
2005,80176848
2006,80183302
2007,80232564
2008,80282585
2009,80298679
2010,80307156
2011,80327212
2012,80358711
2013,80383957
2014,80447247
2015,80591188
2016,80681511
2017,80718215
2018,80722174
2019,80790630
2020,80827161
2021,80843884
2022,80851245
2023,80858396
2024,80863837
2025,80872622
2026,80882833
2027,80911666
2028,80940978
2029,80960536
2030,81015979
2031,81079728
2032,81095385
2033,81152698
2034,81162837
2035,81232021
2036,81240732
2037,81245619
2038,81269758
2039,81367876
2040,81402725
2041,81412960
2042,81430921
2043,81506833
2044,81542578
2045,81544875
2046,81548079
2047,81555485
2048,81674440
2049,81681654
2050,81683782
2051,81689263
2052,81697928
2053,81766345
2054,81794582
2055,81828388
2056,81867043
2057,81924406
2058,81943783
2059,81963089
2060,81967804
2061,82039753
2062,82041053
2063,82183837
2064,82192505
2065,82221842
2066,82222596
2067,82231327
2068,82302306
2069,82320674
2070,82335627
2071,82342517
2072,82418614
2073,82420480
2074,82429383
2075,82437799
2076,82449841
2077,82485728
2078,82512705
2079,82530889
2080,82565280
2081,82625229
2082,82647596
2083,82656218
2084,82688255
2085,82753932
2086,82795392
2087,82834810
2088,82835284
2089,82860201
